"day","treatment","trial_id","trial_uni_id","pic","time","time2","moran_zscore","label"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",59,170,3.24327471764395,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",60,175,-0.167259462836468,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",61,180,-0.09682162786049,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",62,185,-1.0876502067126,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",63,190,0.213028009576627,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",64,195,-0.69802917829888,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",65,200,-1.54868334946758,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",66,205,-1.34323827215614,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",67,210,-0.58207236627242,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",68,215,0.37399635548432,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",69,220,0.891172238667407,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",70,225,0.965137984440006,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",71,230,1.4021329510014,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",72,235,1.80732257776237,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",73,240,-0.0778167004010077,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",74,245,-0.59984785281839,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",75,250,-0.503160345566625,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",76,255,-1.43175542599568,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",77,260,-0.514087653269139,"last"
"6.10.15","Bf Plastic (high)",1,3,"GOPR0908",78,265,1.13309792956477,"last"
