Video name,Date recorded,Time treatment added,Total time,Treatment
GOPR1190,7/2/15,2:05,12:07,Krill odor (high)
GOPR1193,7/2/15,2:05,12:07,SW Control
GOPR1196,7/2/15,2:05,12:07,Clean Plastic (high)
GOPR1199,7/3/15,2:05,12:07,Krill odor (med)
GOPR1202,7/3/15,2:05,12:07,SW Control
GOPR1205,7/3/15,2:05,12:12,Clean Plastic (med)
GOPR1209,7/3/15,2:05,12:07,Bf Plastic (high)
GOPR1212,7/3/15,2:05,12:07,Food
GOPR1215,7/7/15,2:05,12:07,Krill odor (low)
GOPR1218,7/7/15,2:05,12:06,Bf Plastic (low)
GOPR1221,7/7/15,2:05,12:07,Clean Plastic (low)
GOPR1224,7/7/15,2:05,12:07,Bf Plastic (high)
GOPR1229,7/7/15,2:05,12:07,Krill odor (med)
GOPR1232,7/7/15,2:05,12:07,SW Control
GOPR1235,7/7/15,2:05,12:10,Clean Plastic (high)
GOPR1238,7/7/15,2:05,12:06,Krill odor (high)
GOPR1241,7/8/15,2:05,12:06,Bf Plastic (med)
GOPR1245,7/8/15,2:05,12:08,SW Control
GOPR1248,7/8/15,2:05,12:07,Krill odor (med)
GOPR1251,7/8/15,2:05,12:07,Clean Plastic (med)
GOPR1254,7/8/15,2:05,12:07,Krill odor (high)
GOPR1257,7/8/15,2:05,12:07,Clean Plastic (high)
GOPR1260,7/8/15,2:05,12:11,Food
GOPR1263,7/12/15,2:05,12:07,SW Control
GOPR1266,7/12/15,2:05,13:14,Bf Plastic (low)
GOPR1270,7/12/15,2:05,12:06,Clean Plastic (low)
GOPR1273,7/12/15,2:05,12:20,Krill odor (low)
GOPR1276,7/12/15,2:05,12:05,Clean Plastic (med)
GOPR1279,7/12/15,2:05,12:07,Bf Plastic (med)
GOPR1282,7/12/15,2:05,12:11,Food
GOPR1285,7/13/15,2:05,12:17,Clean Plastic (low)
GOPR1288,7/13/15,2:05,12:07,Krill odor (med)
GOPR1292,7/13/15,2:05,12:06,Clean Plastic (high)
GOPR1296,7/13/15,2:05,12:08,Bf Plastic (high)
GOPR1299,7/13/15,2:05,12:07,SW Control
GOPR1302,7/13/15,2:05,12:07,Krill odor (high)
GOPR1305,7/13/15,2:05,12:11,Food
GOPR1308,7/14/15,2:05,12:06,Bf Plastic (low)
GOPR1311,7/14/15,2:05,12:08,Krill odor (low)
GOPR1314,7/14/15,2:05,12:06,Clean Plastic (med)
GOPR1317,7/14/15,2:05,12:06,SW Control
GOPR1321,7/14/15,2:05,12:07,Bf Plastic (med)
GOPR1324,7/14/15,2:05,12:08,Krill odor (med)
GOPR1328,7/14/15,2:05,12:07,Clean Plastic (high)
GOPR1332,7/14/15,2:05,12:12,Food
GOPR1336,7/15/15,2:05,12:08,Krill odor (low)
GOPR1339,7/15/15,2:05,12:07,SW Control
GOPR1342,7/15/15,2:05,12:08,Bf Plastic (low)
GOPR1347,7/15/15,2:05,12:08,Clean Plastic (low)
GOPR1350,7/15/15,2:05,12:07,Bf Plastic (high)
GOPR1353,7/15/15,2:05,12:08,Clean Plastic (high)
GOPR1356,7/15/15,2:05,12:08,Krill odor (high)
GOPR1359,7/16/15,2:05,12:06,SW Control
GOPR1362,7/16/15,2:05,12:08,Krill odor (med)
GOPR1365,7/16/15,2:05,12:09,Clean Plastic (med)
GOPR1368,7/16/15,2:05,12:08,Bf Plastic (med)
GOPR1372,7/16/15,2:05,12:08,Clean Plastic (high)
